34 30 32
32 29 34
33 32 30
32 29 29
32 30 27
31 28 30
28 28 27
25 28 31
25 30 31
22 30 28
25 28 24
21 28 28
23 26 27
25 26 24
21 26 22
17 23 20
18 23 23
15 21 27
16 20 30
18 20 31
21 19 29
20 18 27
21 20 30
22 16 27
20 14 27
16 16 26
13 13 30
16 9 33
14 12 35
17 9 31
13 12 27
9 15 29
12 19 31
11 21 29
8 21 31
12 22 29
11 18 28
8 19 29
10 22 32
14 25 31
15 25 31
13 27 29
16 31 26
14 35 27
13 37 30
14 39 33
11 41 35
8 41 39
7 43 41
10 45 45
6 44 49
6 40 52
4 38 52
2 34 49
0 33 53
2 36 57
1 37 54
2 38 57
2 40 53
2 39 49
1 36 45
2 36 41
3 34 38
6 31 40
8 34 36
8 34 38
4 34 42
8 38 45
6 36 44
4 36 46
4 36 46
6 34 43
2 32 45
2 35 42
6 36 42
6 35 43
10 33 47
9 30 44
11 29 40
15 26 40
15 25 44
12 27 44
8 25 44
6 25 46
10 29 49
11 30 51
11 34 51
14 34 47
11 35 50
8 31 46
8 33 50
7 29 49
7 26 49
3 30 51
1 30 55
2 28 52
2 32 48
2 28 44
3 29 41
6 27 43
9 28 42
8 29 38
12 25 37
8 28 35
6 29 36
2 26 37
2 25 36
2 22 40
6 18 38
5 16 41
9 15 43
9 18 39
9 16 35
7 17 35
11 18 37
11 14 41
15 15 44
12 14 42
8 18 44
4 16 46
4 15 45
8 17 48
9 14 49
8 15 51
8 19 53
5 16 55
9 17 52
8 18 51
5 21 47
8 23 44
9 24 44
12 23 45
11 23 45
13 21 49
9 23 46
8 27 42
10 25 45
9 21 41
12 18 41
10 21 38
11 24 35
11 26 31
7 29 33
6 32 32
6 36 28
9 35 26
10 32 23
7 34 20
6 31 23
10 34 19
8 31 23
12 30 26
14 33 28
16 35 26
20 33 22
24 33 22
23 36 20
21 39 22
25 37 24
23 33 20
20 33 20
22 37 23
26 38 23
29 38 19
27 38 18
23 38 19
23 40 19
22 36 15
21 32 13
18 36 14
19 38 10
21 42 13
19 45 15
17 45 17
16 43 14
16 45 13
17 47 11
20 50 10
18 51 9
17 54 9
20 50 6
18 50 9
21 49 7
24 50 3
22 54 0
21 55 0
24 59 0
21 58 3
20 55 2
23 54 5
25 51 4
23 51 4
26 55 0
24 53 1
23 49 2
26 51 1
23 51 2
24 53 6
23 53 3
22 54 6
22 50 5
18 46 6
19 49 10
20 51 10
17 48 11
20 49 9
19 46 6
23 44 10
27 42 11
29 44 13
28 41 10
25 45 12
23 43 9
21 45 9
17 44 5
13 45 1
17 43 3
20 43 3
24 44 2
26 48 6
25 44 5
22 45 8
25 42 12
22 44 10
20 44 12
23 44 15
26 45 14
22 42 16
26 44 19
25 42 22
27 39 19
28 40 16
26 42 13
24 38 11
24 35 7
26 32 7
28 29 9
32 27 11
36 27 14
34 26 16
38 28 19
39 30 17
39 27 13
35 31 10
38 33 10
35 30 12
36 27 10
34 29 7
31 29 5
28 27 2
26 29 0
28 25 2
24 24 4
25 21 8
23 17 10
25 17 6
28 20 9
29 23 8
33 22 7
33 22 11
34 21 7
35 19 4
34 17 3
30 18 6
30 21 2
31 25 2
30 25 2
32 27 2
36 30 3
34 33 0
34 32 3
33 36 4
35 32 7
39 31 6
40 28 6
43 24 6
47 20 6
46 22 10
48 23 13
44 27 15
46 25 15
47 26 12
46 23 11
44 23 14
48 21 11
44 17 11
47 19 15
51 23 16
50 20 17
46 19 21
43 16 18
45 14 16
43 14 13
47 10 12
48 12 10
49 16 12
48 12 11
44 9 12
42 11 9
38 7 6
42 8 2
46 6 6
48 2 2
46 0 2
49 2 2
50 0 1
53 4 0
52 1 0
55 2 2
56 2 0
55 2 2
54 5 2
55 8 4
57 6 0
56 8 0
55 4 2
53 4 5
49 7 7
50 8 10
48 6 12
47 3 10
44 3 9
43 5 7
44 9 4
45 7 3
49 10 0
47 14 0
48 16 4
48 20 4
45 23 1
49 23 4
48 25 0
44 27 4
44 31 8
46 27 8
46 29 4
47 25 1
51 28 2
50 24 2
47 23 0
48 22 2
52 19 3
50 21 3
46 17 7
47 18 5
43 20 8
39 23 4
41 21 2
45 19 1
47 16 4
50 15 6
50 12 9
52 8 5
55 5 8
54 5 12
52 9 13
49 12 11
49 15 12
47 14 12
46 11 8
44 11 12
40 15 9
36 11 12
35 12 8
31 10 9
35 10 5
36 10 1
32 7 2
35 4 0
34 7 1
35 3 0
37 2 2
36 0 3
37 0 5
37 4 9
39 7 8
37 9 4
40 5 4
39 1 6
35 5 10
39 5 9
41 7 12
40 7 12
44 4 15
44 1 16
46 1 12
43 4 14
43 7 14
43 8 10
41 12 10
37 8 9
39 11 7
40 12 10
41 9 8
44 10 9
48 14 10
47 16 10
44 18 13
47 20 14
48 17 12
45 18 16
48 18 17
50 15 16
47 17 12
49 19 12
47 18 15
48 16 18
50 19 14
46 17 11
49 15 14
45 14 18
42 11 15
45 10 12
46 14 16
48 16 16
50 12 13
54 16 9
54 19 11
55 19 14
